caso,id_correcto,posicion,id_resultado,score,juicio,quien,fecha
caso-001,AIM-P001-001,1,AIM-P008-022,0.5877,No sirve,Andres y Samir,2026-09-23 13:32:22
caso-001,AIM-P001-001,2,AIM-P074-055,0.5828,No sirve,Andres y Samir,2026-09-23 13:32:23
caso-001,AIM-P001-001,3,AIM-P209-016,0.5755,Sirve,Andres y Samir,2026-09-23 13:32:24
caso-001,AIM-P001-001,4,AIM-P011-049,0.5753,Sirve,Andres y Samir,2026-09-23 13:32:26
caso-001,AIM-P001-001,5,AIM-P005-020,0.5732,No sirve,Andres y Samir,2026-09-23 13:32:29
caso-002,AIM-P001-002,1,AIM-P025-020,0.6615,Sirve,Andres y Samir,2026-09-23 13:32:38
caso-002,AIM-P001-002,2,AIM-P239-041,0.6569,No sirve,Andres y Samir,2026-09-23 13:32:40
caso-002,AIM-P001-002,3,AIM-P146-011,0.6562,No sirve,Andres y Samir,2026-09-23 13:32:41
caso-002,AIM-P001-002,4,AIM-P028-048,0.6545,No sirve,Andres y Samir,2026-09-23 13:32:42
caso-002,AIM-P001-002,5,AIM-P047-005,0.6522,No sirve,Andres y Samir,2026-09-23 13:32:43
caso-003,AIM-P001-003,1,AIM-P011-025,0.524,No sirve,Andres y Samir,2026-09-23 13:32:45
caso-003,AIM-P001-003,2,AIM-P155-051,0.523,No sirve,Andres y Samir,2026-09-23 13:32:46
caso-003,AIM-P001-003,3,AIM-P218-019,0.5203,Sirve,Andres y Samir,2026-09-23 13:32:47
caso-003,AIM-P001-003,4,AIM-P197-020,0.5189,No sirve,Andres y Samir,2026-09-23 13:32:48
caso-003,AIM-P001-003,5,AIM-P155-035,0.5158,No sirve,Andres y Samir,2026-09-23 13:32:49
caso-004,AIM-P001-004,1,AIM-P002-010,0.8288,Acierto,Andres y Samir,2026-09-23 13:32:52
caso-004,AIM-P001-004,2,AIM-P184-022,0.7753,Sirve,Andres y Samir,2026-09-23 13:32:54
caso-004,AIM-P001-004,3,AIM-P155-051,0.7658,Sirve,Andres y Samir,2026-09-23 13:32:56
caso-004,AIM-P001-004,4,AIM-P172-023,0.7635,No sirve,Andres y Samir,2026-09-23 13:32:57
caso-004,AIM-P001-004,5,AIM-P049-005,0.7545,Sirve,Andres y Samir,2026-09-23 13:33:00
caso-005,AIM-P001-005,1,AIM-P026-007,0.8283,Sirve,Andres y Samir,2026-09-23 13:33:05
caso-005,AIM-P001-005,2,AIM-P168-012,0.7932,Sirve,Andres y Samir,2026-09-23 13:33:05
caso-005,AIM-P001-005,3,AIM-P160-058,0.7856,Sirve,Andres y Samir,2026-09-23 13:33:06
caso-005,AIM-P001-005,4,AIM-P052-048,0.7723,Sirve,Andres y Samir,2026-09-23 13:33:07
caso-005,AIM-P001-005,5,AIM-P047-021,0.7717,No sirve,Andres y Samir,2026-09-23 13:33:09
caso-006,AIM-P001-006,1,AIM-P011-049,0.7465,No sirve,Andres y Samir,2026-09-23 13:33:15
