caso_imagen,id_correcto,resultado_id,posicion,juicio,puntos
../data/consultas/sr2026092308351851.png,DESCONOCIDO,AIM-P179-013,1,No sirve,0
../data/consultas/sr2026092308351851.png,DESCONOCIDO,AIM-P077-016,2,No sirve,0
../data/consultas/sr2026092308351851.png,DESCONOCIDO,AIM-P208-034,3,Acierto,3
../data/consultas/sr2026092308351851.png,DESCONOCIDO,AIM-P079-038,4,Sirve,1
../data/consultas/sr2026092308351851.png,DESCONOCIDO,AIM-P165-034,5,No sirve,0
../data/consultas/sr2026092308351852.png,DESCONOCIDO,AIM-P134-014,1,Acierto,3
../data/consultas/sr2026092308351852.png,DESCONOCIDO,AIM-P130-017,2,Acierto,3
../data/consultas/sr2026092308351852.png,DESCONOCIDO,AIM-P247-012,3,Sirve,1
../data/consultas/sr2026092308351852.png,DESCONOCIDO,AIM-P134-013,4,Acierto,3
../data/consultas/sr2026092308351852.png,DESCONOCIDO,AIM-P247-034,5,Sirve,1
../data/consultas/sr2026092308351853.png,DESCONOCIDO,AIM-P226-055,1,Sirve,1
../data/consultas/sr2026092308351853.png,DESCONOCIDO,AIM-P029-041,2,Sirve,1
../data/consultas/sr2026092308351853.png,DESCONOCIDO,AIM-P005-013,3,Sirve,1
../data/consultas/sr2026092308351853.png,DESCONOCIDO,AIM-P014-052,4,Sirve,1
../data/consultas/sr2026092308351853.png,DESCONOCIDO,AIM-P179-027,5,No sirve,0
../data/consultas/sr2026092308361856.png,DESCONOCIDO,AIM-P023-006,1,Sirve,1
../data/consultas/sr2026092308361856.png,DESCONOCIDO,AIM-P226-055,2,No sirve,0
../data/consultas/sr2026092308361856.png,DESCONOCIDO,AIM-P005-013,3,No sirve,0
../data/consultas/sr2026092308361856.png,DESCONOCIDO,AIM-P179-027,4,No sirve,0
../data/consultas/sr2026092308361856.png,DESCONOCIDO,AIM-P137-037,5,No sirve,0
../data/consultas/sr2026092308361857.png,DESCONOCIDO,AIM-P163-056,1,Acierto,3
